meta_Data,name,plot,rating
"2020,1h 33m,TV-14",3. His House,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",6.4
"2020,1h 35m,R",4. Lost Girls,"After Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.",6.2
"2020,1h 27m,PG-13",5. Gretel & Hansel,"In a distant land, two siblings, Hansel and Gretel, wander through the woods in search of food and work. When a mysterious lady offers them a way out, they accept without thinking about the consequences.",5.5
"2020,47m",6. Stacey Dooley: On the Psych Ward,Stacey Dooley experiences life on the front-line of mental health services.,6.8
"2020,1h 50m",7. Min pappa Marianne,"After breaking up with her boyfriend, 28-year-old aspiring journalist Hanna decides to leave Stockholm and move back in with her parents and brother in her small hometown, Alingsås. After she gets a job at the local news station, her world turns upside-down when her father, a respected priest in the community, informs his family of his lifelong feminine side and announces that he wants to come out as Marianne. The whole family must now deal with the consequences this might have for them and the community at large.",6.8
"2020,1h 28m",8. The Bridge Curse,"University students, planning a bravery initiation test for their fellow classmates, choose a campus bridge rumored to be haunted by a vengeful female ghost.",5.3
"2020,1h 49m,PG-13",9. Fantasy Island,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.9
"2020,2h 4m,R",10. The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1
"2020,1h 47m,TV-MA",11. All the Bright Places,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.",6.6
"2020,1h 42m,TV-MA",12. Nobody Sleeps in the Woods Tonight,A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.,4.9
"2020,1h 37m,PG-13",13. A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",7.2
"2020,1h 36m,TV-MA",14. Murder to Mercy: The Cyntoia Brown Story,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",6.4
"2020,1h 44m,PG-13",15. The Half of It,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",6.9
"2020,1h 36m,R",16. Body Cam,"When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them.",5.3
"2020,1h 22m,PG",17. Adventures of Rufus: The Fantastic Pet,"Scott and Emily are at his grandmother's home when they suddenly discover a mysterious creature. They have a mission: with the help of an ancient spell book, they'll gather some ingredients to make a magic dust to save their world.",4.1
"2020,1h 38m,TV-MA",18. #Alive,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",6.3
"2020,1h 56m,Not Rated",19. Peninsula,"A zombie virus has in the last four years spread to all South Korea. Four Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",5.5
"2020,1h 29m",20. Bert's Diary,"Leila is the girl that everyone is in love with. Bert is in the same class as Amira, the little sister to Leila, and he sees his opportunity to approach Leila through friendship with Amira.",5.7
"2020,1h 37m,TV-MA",21. Uncle Peckerhead,"When a punk band scores their first tour, life on the road proves tough when they are joined by a man-eating demon as a roadie.",5.9
"2020,1h 36m,TV-MA",22. Cuties,Eleven-year-old Amy starts to rebel against her conservative family's traditions when she becomes fascinated with a free-spirited dance crew.,3.6
"2020,1h 34m,PG-13",23. The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",5.3
"2020,2h 3m,PG-13",24. Enola Holmes,"When Enola Holmes, Sherlock's sister, discovers her mother is missing, she endeavors to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy.",6.6
"2020,1h 33m",25. The Curse of Audrey Earnshaw,"A devout community suffering from a plague is torn apart by a beautiful young woman and the forces of witchcraft, black magic, and possession.",4.8
"2018–2024,9m,PG",1. SparkShorts,"In LOOP, two kids at canoe camp find themselves adrift on a lake, unable to move forward until they find a new way to connect and see the world through each other's eyes.",6.7
"2020,1h 29m,R",2. Relic,"A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.",6.0
"2020,1h 33m,TV-14",3. His House,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",6.4
"2020,1h 35m,R",4. Lost Girls,"After Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.",6.2
"2020,1h 27m,PG-13",5. Gretel & Hansel,"In a distant land, two siblings, Hansel and Gretel, wander through the woods in search of food and work. When a mysterious lady offers them a way out, they accept without thinking about the consequences.",5.5
"2020,47m",6. Stacey Dooley: On the Psych Ward,Stacey Dooley experiences life on the front-line of mental health services.,6.8
"2020,1h 50m",7. Min pappa Marianne,"After breaking up with her boyfriend, 28-year-old aspiring journalist Hanna decides to leave Stockholm and move back in with her parents and brother in her small hometown, Alingsås. After she gets a job at the local news station, her world turns upside-down when her father, a respected priest in the community, informs his family of his lifelong feminine side and announces that he wants to come out as Marianne. The whole family must now deal with the consequences this might have for them and the community at large.",6.8
"2020,1h 28m",8. The Bridge Curse,"University students, planning a bravery initiation test for their fellow classmates, choose a campus bridge rumored to be haunted by a vengeful female ghost.",5.3
"2020,1h 49m,PG-13",9. Fantasy Island,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.9
"2020,2h 4m,R",10. The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1
"2020,1h 47m,TV-MA",11. All the Bright Places,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.",6.6
"2020,1h 42m,TV-MA",12. Nobody Sleeps in the Woods Tonight,A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.,4.9
"2020,1h 37m,PG-13",13. A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",7.2
"2020,1h 36m,TV-MA",14. Murder to Mercy: The Cyntoia Brown Story,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",6.4
"2020,1h 44m,PG-13",15. The Half of It,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",6.9
"2020,1h 36m,R",16. Body Cam,"When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them.",5.3
"2020,1h 22m,PG",17. Adventures of Rufus: The Fantastic Pet,"Scott and Emily are at his grandmother's home when they suddenly discover a mysterious creature. They have a mission: with the help of an ancient spell book, they'll gather some ingredients to make a magic dust to save their world.",4.1
"2020,1h 38m,TV-MA",18. #Alive,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",6.3
"2020,1h 56m,Not Rated",19. Peninsula,"A zombie virus has in the last four years spread to all South Korea. Four Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",5.5
"2020,1h 29m",20. Bert's Diary,"Leila is the girl that everyone is in love with. Bert is in the same class as Amira, the little sister to Leila, and he sees his opportunity to approach Leila through friendship with Amira.",5.7
"2020,1h 37m,TV-MA",21. Uncle Peckerhead,"When a punk band scores their first tour, life on the road proves tough when they are joined by a man-eating demon as a roadie.",5.9
"2020,1h 36m,TV-MA",22. Cuties,Eleven-year-old Amy starts to rebel against her conservative family's traditions when she becomes fascinated with a free-spirited dance crew.,3.6
"2020,1h 34m,PG-13",23. The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",5.3
"2020,2h 3m,PG-13",24. Enola Holmes,"When Enola Holmes, Sherlock's sister, discovers her mother is missing, she endeavors to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy.",6.6
"2020,1h 33m",25. The Curse of Audrey Earnshaw,"A devout community suffering from a plague is torn apart by a beautiful young woman and the forces of witchcraft, black magic, and possession.",4.8
"2018–2024,9m,PG",1. SparkShorts,"In LOOP, two kids at canoe camp find themselves adrift on a lake, unable to move forward until they find a new way to connect and see the world through each other's eyes.",6.7
"2020,1h 29m,R",2. Relic,"A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.",6.0
"2020,1h 33m,TV-14",3. His House,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",6.4
"2020,1h 35m,R",4. Lost Girls,"After Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.",6.2
"2020,1h 27m,PG-13",5. Gretel & Hansel,"In a distant land, two siblings, Hansel and Gretel, wander through the woods in search of food and work. When a mysterious lady offers them a way out, they accept without thinking about the consequences.",5.5
"2020,47m",6. Stacey Dooley: On the Psych Ward,Stacey Dooley experiences life on the front-line of mental health services.,6.8
"2020,1h 50m",7. Min pappa Marianne,"After breaking up with her boyfriend, 28-year-old aspiring journalist Hanna decides to leave Stockholm and move back in with her parents and brother in her small hometown, Alingsås. After she gets a job at the local news station, her world turns upside-down when her father, a respected priest in the community, informs his family of his lifelong feminine side and announces that he wants to come out as Marianne. The whole family must now deal with the consequences this might have for them and the community at large.",6.8
"2020,1h 28m",8. The Bridge Curse,"University students, planning a bravery initiation test for their fellow classmates, choose a campus bridge rumored to be haunted by a vengeful female ghost.",5.3
"2020,1h 49m,PG-13",9. Fantasy Island,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.9
"2020,2h 4m,R",10. The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1
"2020,1h 47m,TV-MA",11. All the Bright Places,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.",6.6
"2020,1h 42m,TV-MA",12. Nobody Sleeps in the Woods Tonight,A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.,4.9
"2020,1h 37m,PG-13",13. A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",7.2
"2020,1h 36m,TV-MA",14. Murder to Mercy: The Cyntoia Brown Story,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",6.4
"2020,1h 44m,PG-13",15. The Half of It,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",6.9
"2020,1h 36m,R",16. Body Cam,"When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them.",5.3
"2020,1h 22m,PG",17. Adventures of Rufus: The Fantastic Pet,"Scott and Emily are at his grandmother's home when they suddenly discover a mysterious creature. They have a mission: with the help of an ancient spell book, they'll gather some ingredients to make a magic dust to save their world.",4.1
"2020,1h 38m,TV-MA",18. #Alive,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",6.3
"2020,1h 56m,Not Rated",19. Peninsula,"A zombie virus has in the last four years spread to all South Korea. Four Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",5.5
"2020,1h 29m",20. Bert's Diary,"Leila is the girl that everyone is in love with. Bert is in the same class as Amira, the little sister to Leila, and he sees his opportunity to approach Leila through friendship with Amira.",5.7
"2020,1h 37m,TV-MA",21. Uncle Peckerhead,"When a punk band scores their first tour, life on the road proves tough when they are joined by a man-eating demon as a roadie.",5.9
"2020,1h 36m,TV-MA",22. Cuties,Eleven-year-old Amy starts to rebel against her conservative family's traditions when she becomes fascinated with a free-spirited dance crew.,3.6
"2020,1h 34m,PG-13",23. The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",5.3
"2020,2h 3m,PG-13",24. Enola Holmes,"When Enola Holmes, Sherlock's sister, discovers her mother is missing, she endeavors to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy.",6.6
"2020,1h 33m",25. The Curse of Audrey Earnshaw,"A devout community suffering from a plague is torn apart by a beautiful young woman and the forces of witchcraft, black magic, and possession.",4.8
"2018–2024,9m,PG",1. SparkShorts,"In LOOP, two kids at canoe camp find themselves adrift on a lake, unable to move forward until they find a new way to connect and see the world through each other's eyes.",6.7
"2020,1h 29m,R",2. Relic,"A daughter, mother and grandmother are haunted by a manifestation of dementia that consumes their family's home.",6.0
"2020,1h 33m,TV-14",3. His House,"A refugee couple makes a harrowing escape from war-torn South Sudan, but then they struggle to adjust to their new life in an English town that has an evil lurking beneath the surface.",6.4
"2020,1h 35m,R",4. Lost Girls,"After Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.",6.2
"2020,1h 27m,PG-13",5. Gretel & Hansel,"In a distant land, two siblings, Hansel and Gretel, wander through the woods in search of food and work. When a mysterious lady offers them a way out, they accept without thinking about the consequences.",5.5
"2020,47m",6. Stacey Dooley: On the Psych Ward,Stacey Dooley experiences life on the front-line of mental health services.,6.8
"2020,1h 50m",7. Min pappa Marianne,"After breaking up with her boyfriend, 28-year-old aspiring journalist Hanna decides to leave Stockholm and move back in with her parents and brother in her small hometown, Alingsås. After she gets a job at the local news station, her world turns upside-down when her father, a respected priest in the community, informs his family of his lifelong feminine side and announces that he wants to come out as Marianne. The whole family must now deal with the consequences this might have for them and the community at large.",6.8
"2020,1h 28m",8. The Bridge Curse,"University students, planning a bravery initiation test for their fellow classmates, choose a campus bridge rumored to be haunted by a vengeful female ghost.",5.3
"2020,1h 49m,PG-13",9. Fantasy Island,"When the owner and operator of a luxurious island invites a collection of guests to live out their most elaborate fantasies in relative seclusion, chaos quickly descends.",4.9
"2020,2h 4m,R",10. The Invisible Man,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.",7.1
"2020,1h 47m,TV-MA",11. All the Bright Places,"The story of Violet and Theodore, who meet and change each other's lives forever. As they struggle with the emotional and physical scars of their past, they discover that even the smallest places and moments can mean something.",6.6
"2020,1h 42m,TV-MA",12. Nobody Sleeps in the Woods Tonight,A group of technology-dependent teenagers goes to offline camp and faces a deadly danger lurking in the woods.,4.9
"2020,1h 37m,PG-13",13. A Quiet Place Part II,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.",7.2
"2020,1h 36m,TV-MA",14. Murder to Mercy: The Cyntoia Brown Story,"After 16-year-old Cyntoia Brown is sentenced to life in prison, questions about her past, physiology and the law itself call her guilt into question.",6.4
"2020,1h 44m,PG-13",15. The Half of It,"When smart but cash-strapped teen Ellie Chu agrees to write a love letter for a jock, she doesn't expect to become his friend - or fall for his crush.",6.9
"2020,1h 36m,R",16. Body Cam,"When a routine traffic stop results in the unexplained, grisly death of her colleague, a cop realizes footage of the incident will play for her eyes only. As the attacks mount, she races to understand the supernatural force behind them.",5.3
"2020,1h 22m,PG",17. Adventures of Rufus: The Fantastic Pet,"Scott and Emily are at his grandmother's home when they suddenly discover a mysterious creature. They have a mission: with the help of an ancient spell book, they'll gather some ingredients to make a magic dust to save their world.",4.1
"2020,1h 38m,TV-MA",18. #Alive,"The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.",6.3
"2020,1h 56m,Not Rated",19. Peninsula,"A zombie virus has in the last four years spread to all South Korea. Four Koreans in Hong Kong sail through the blockade to Incheon for USD20,000,000 on a truck.",5.5
"2020,1h 29m",20. Bert's Diary,"Leila is the girl that everyone is in love with. Bert is in the same class as Amira, the little sister to Leila, and he sees his opportunity to approach Leila through friendship with Amira.",5.7
"2020,1h 37m,TV-MA",21. Uncle Peckerhead,"When a punk band scores their first tour, life on the road proves tough when they are joined by a man-eating demon as a roadie.",5.9
"2020,1h 36m,TV-MA",22. Cuties,Eleven-year-old Amy starts to rebel against her conservative family's traditions when she becomes fascinated with a free-spirited dance crew.,3.6
"2020,1h 34m,PG-13",23. The New Mutants,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",5.3
"2020,2h 3m,PG-13",24. Enola Holmes,"When Enola Holmes, Sherlock's sister, discovers her mother is missing, she endeavors to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy.",6.6
"2020,1h 33m",25. The Curse of Audrey Earnshaw,"A devout community suffering from a plague is torn apart by a beautiful young woman and the forces of witchcraft, black magic, and possession.",4.8
